Name,ISO3,ID,Year,Age,Pop,PAR,incidence_rate_all_age_rmean,incidence_rate_all_age_LCI,incidence_rate_all_age_median,incidence_rate_all_age_UCI
Oyo,NGA,10313522,2001,all_age,5167866.262,5167866.262,0.45824098,0.274182707,0.450849492,0.641819842
Plateau,NGA,10313750,2001,all_age,2201611.693,2201611.693,0.439006273,0.239032712,0.436875842,0.662677969
Akwa Ibom,NGA,10313817,2001,all_age,3816189.108,3816189.108,0.507126169,0.319394345,0.497329705,0.725363335
Lagos,NGA,10313859,2001,all_age,8759268.61,8759268.61,0.111391474,0.04942346,0.104828308,0.19555732
Gombe,NGA,10313923,2001,all_age,2181350.363,2181350.363,0.466881647,0.216894053,0.453100148,0.75478054
Kwara,NGA,10314245,2001,all_age,2103448.536,2103448.536,0.493986161,0.255503911,0.493913676,0.729036435
Ekiti,NGA,10314343,2001,all_age,2589510.178,2589510.178,0.45911935,0.217286576,0.45377253,0.70047346
Yobe,NGA,10314496,2001,all_age,2045171.505,2045171.505,0.342095601,0.109635588,0.32765054,0.675802958
Kebbi,NGA,10314662,2001,all_age,2952530.64,2952530.64,0.401117843,0.151701278,0.407189068,0.689455772
Cross River,NGA,10314810,2001,all_age,2832634.66,2832634.66,0.462555184,0.277260531,0.454703941,0.668163723
Nasarawa,NGA,10314878,2001,all_age,1333942.802,1333942.802,0.486780631,0.280720204,0.479269375,0.715171692
Katsina,NGA,10314910,2001,all_age,5249606.469,5249606.469,0.434977211,0.177551561,0.425461442,0.76712587
Benue,NGA,10314912,2001,all_age,3564767.614,3564767.614,0.442852411,0.208956357,0.44498455,0.696806839
Kaduna,NGA,10315174,2001,all_age,5370209.868,5370209.868,0.573695227,0.34614854,0.566870167,0.794027892
Kogi,NGA,10315316,2001,all_age,3043056.81,3043056.81,0.446596396,0.205827005,0.453484871,0.697504429
Imo,NGA,10315365,2001,all_age,3247871.904,3247871.904,0.490183645,0.311940714,0.485795542,0.6899519
Sokoto,NGA,10315512,2001,all_age,3142651.297,3142651.297,0.302953042,0.073832078,0.280700219,0.624260735
Enugu,NGA,10315516,2001,all_age,2983160.224,2983160.224,0.263131794,0.128296235,0.26033791,0.414440709
Niger,NGA,10315577,2001,all_age,3212214.484,3212214.484,0.499729273,0.26314087,0.502809111,0.745387558
Bauchi,NGA,10315631,2001,all_age,4311015.075,4311015.075,0.464836751,0.246799432,0.443288348,0.753816565
Jigawa,NGA,10315654,2001,all_age,4069831.537,4069831.537,0.403990269,0.149219436,0.365305884,0.744407582
Rivers,NGA,10315660,2001,all_age,5452102.799,5452102.799,0.445298595,0.26624066,0.442717323,0.651802548
Taraba,NGA,10315664,2001,all_age,1983575.796,1983575.796,0.393087893,0.201364525,0.390610085,0.634962078
Ondo,NGA,10315731,2001,all_age,2698052.086,2698052.086,0.417977645,0.246706078,0.407961803,0.659190545
Adamawa,NGA,10315851,2001,all_age,2966824.007,2966824.007,0.403417088,0.200398918,0.394826411,0.658105423
Borno,NGA,10316414,2001,all_age,3856765.217,3856765.217,0.308744114,0.129230596,0.28854346,0.548553317
Edo,NGA,10312855,2002,all_age,3073088.208,3073088.208,0.345737769,0.163726107,0.329733715,0.60417653
Kano,NGA,10312921,2002,all_age,8505333.968,8505333.968,0.412173738,0.137259356,0.396210887,0.782218983
Bayelsa,NGA,10312967,2002,all_age,2096714.565,2096714.565,0.39688124,0.176126924,0.38390304,0.685874871
Zamfara,NGA,10312979,2002,all_age,3237007.548,3237007.548,0.402810284,0.124829169,0.377419056,0.73537578
Ebonyi,NGA,10313027,2002,all_age,2020190.193,2020190.193,0.419635017,0.240661433,0.423837556,0.624988179
Ogun,NGA,10313043,2002,all_age,3178729.192,3178729.192,0.284622526,0.170034373,0.277786817,0.419110172
