adm1,year,name,value
Abia,2014,ipt1_cov,0.23517382413087934
Abia,2014,ipt2_cov,0.18366564417177914
Abia,2015,ipt1_cov,0.19102408347030658
Abia,2015,ipt2_cov,0.15800757521617953
Abia,2016,ipt1_cov,0.2162413532523397
Abia,2016,ipt2_cov,0.17153984770098238
Abia,2017,ipt1_cov,0.2342958256253519
Abia,2017,ipt2_cov,0.17296710367570176
Abia,2018,ipt1_cov,0.2450625021172804
Abia,2018,ipt2_cov,0.20196031934234449
Abia,2019,ipt1_cov,0.2332977795015999
Abia,2019,ipt2_cov,0.18566152164523153
Abia,2020,ipt1_cov,0.2554195121043524
Abia,2020,ipt2_cov,0.20289909008019946
Adamawa,2014,ipt1_cov,0.2020212963536185
Adamawa,2014,ipt2_cov,0.20753110877236428
Adamawa,2015,ipt1_cov,0.2798180491782174
Adamawa,2015,ipt2_cov,0.23250225292880744
Adamawa,2016,ipt1_cov,0.2745767340251229
Adamawa,2016,ipt2_cov,0.24759694156198797
Adamawa,2017,ipt1_cov,0.26573887204136565
Adamawa,2017,ipt2_cov,0.2507339370381984
Adamawa,2018,ipt1_cov,0.2808531788212491
Adamawa,2018,ipt2_cov,0.2519334780906693
Adamawa,2019,ipt1_cov,0.298494303939703
Adamawa,2019,ipt2_cov,0.2629637952990936
Adamawa,2020,ipt1_cov,0.526734938526088
Adamawa,2020,ipt2_cov,0.42857403915032966
Akwa Ibom,2014,ipt1_cov,0.19839078646367436
Akwa Ibom,2014,ipt2_cov,0.13063027530172755
Akwa Ibom,2015,ipt1_cov,0.3532434044682202
Akwa Ibom,2015,ipt2_cov,0.23561106086554928
Akwa Ibom,2016,ipt1_cov,0.3497383407726643
Akwa Ibom,2016,ipt2_cov,0.2324534400492535
Akwa Ibom,2017,ipt1_cov,0.34595914143004997
Akwa Ibom,2017,ipt2_cov,0.20983890563830265
Akwa Ibom,2018,ipt1_cov,0.3148707705421721
Akwa Ibom,2018,ipt2_cov,0.2186881762838659
Akwa Ibom,2019,ipt1_cov,0.2830770340190016
Akwa Ibom,2019,ipt2_cov,0.229659809983955
Akwa Ibom,2020,ipt1_cov,0.27833316684468146
Akwa Ibom,2020,ipt2_cov,0.2385065199517439
Anambra,2014,ipt1_cov,0.1467995685647339
Anambra,2014,ipt2_cov,0.10281920630788113
Anambra,2015,ipt1_cov,0.18228401905846395
Anambra,2015,ipt2_cov,0.13471277456474184
Anambra,2016,ipt1_cov,0.26901819339097227
Anambra,2016,ipt2_cov,0.21135097862409166
Anambra,2017,ipt1_cov,0.29474745584765233
Anambra,2017,ipt2_cov,0.21427012193220446
Anambra,2018,ipt1_cov,0.25328625720712694
Anambra,2018,ipt2_cov,0.18023958729715278
Anambra,2019,ipt1_cov,0.22352400883011425
Anambra,2019,ipt2_cov,0.1723072587505284
Anambra,2020,ipt1_cov,0.29649717714732093
Anambra,2020,ipt2_cov,0.22938784930582679
Bauchi,2014,ipt1_cov,0.36901454935504274
Bauchi,2014,ipt2_cov,0.24619764019912538
Bauchi,2015,ipt1_cov,0.3047336514897459
Bauchi,2015,ipt2_cov,0.24320908035599123
Bauchi,2016,ipt1_cov,0.3011322533266107
Bauchi,2016,ipt2_cov,0.23415612600565577
Bauchi,2017,ipt1_cov,0.2552571338223264
Bauchi,2017,ipt2_cov,0.19233307440073144
Bauchi,2018,ipt1_cov,0.23278768952815568
Bauchi,2018,ipt2_cov,0.19358024883641847
Bauchi,2019,ipt1_cov,0.29785202142482214
Bauchi,2019,ipt2_cov,0.2768215633304661
Bauchi,2020,ipt1_cov,0.39474851943132333
Bauchi,2020,ipt2_cov,0.3340197511607313
Bayelsa,2014,ipt1_cov,0.07382473756275673
Bayelsa,2014,ipt2_cov,0.05260155180282976
Bayelsa,2015,ipt1_cov,0.07014467338886453
Bayelsa,2015,ipt2_cov,0.04329241560718983
Bayelsa,2016,ipt1_cov,0.047768822488696676
Bayelsa,2016,ipt2_cov,0.03145272262630234
Bayelsa,2017,ipt1_cov,0.05764508207315497
Bayelsa,2017,ipt2_cov,0.039550213260953856
Bayelsa,2018,ipt1_cov,0.16686239968682717
Bayelsa,2018,ipt2_cov,0.09418672930123312
Bayelsa,2019,ipt1_cov,0.12134052984024374
Bayelsa,2019,ipt2_cov,0.11158194274756035
Bayelsa,2020,ipt1_cov,0.12116962046835819
Bayelsa,2020,ipt2_cov,0.10627310977942114
Benue,2014,ipt1_cov,0.24152963249089504
Benue,2014,ipt2_cov,0.15601662803958358
Benue,2015,ipt1_cov,0.2982273848110296
Benue,2015,ipt2_cov,0.1729966967013539
Benue,2016,ipt1_cov,0.3114349080128242
Benue,2016,ipt2_cov,0.17542488767337372
Benue,2017,ipt1_cov,0.32599453766422504
Benue,2017,ipt2_cov,0.17960560933441355
Benue,2018,ipt1_cov,0.316379638934128
Benue,2018,ipt2_cov,0.17543227416057383
Benue,2019,ipt1_cov,0.28742842728021284
Benue,2019,ipt2_cov,0.14854760329555786
Benue,2020,ipt1_cov,0.26153858176646194
Benue,2020,ipt2_cov,0.16865163095293914
Borno,2014,ipt1_cov,0.2763440860215054
Borno,2014,ipt2_cov,0.22043010752688172
Borno,2016,ipt1_cov,0.8181818181818182
Borno,2016,ipt2_cov,0.18181818181818182
Borno,2017,ipt1_cov,0.3338585226352992
Borno,2017,ipt2_cov,0.38839907192575407
Borno,2018,ipt1_cov,0.3031245376140761
Borno,2018,ipt2_cov,0.28311435571929067
Borno,2019,ipt1_cov,0.31576735826185287
Borno,2019,ipt2_cov,0.2910485685937613
